Customer_ID,Name,Age,Gender,Location,Join_Date,Total_Spent
2001,Adam,41,Female,Boston,2023-05-31,76.4
2002,Chloe,30,Female,Lyon,2023-07-06,0.0
2003,Bob,37,Male,Chicago,2024-10-27,175.97
2004,Sarah,31,Female,Seattle,2023-12-10,290.57
2005,Alice,36,Female,Dallas,2023-12-08,742.0
2006,Tom,37,Male,Chicago,2024-01-30,0.0
2007,Alice,40,Female,Miami,2023-04-11,112.45
2008,Noah,22,Male,Miami,2023-07-20,0.0
2009,Lucas,36,Female,Denver,2024-09-24,149.0
2010,Grace,34,Male,San Antonio,2024-08-14,0.0
2011,Charlie,24,Male,Marseille,2023-10-02,217.05
2012,Camille,50,Male,Boston,2023-01-17,337.89
2013,Ines,40,Female,Marseille,2023-12-14,152.3
2014,Tom,40,Female,Houston,2024-06-14,0.0
2015,Adam,24,Female,Philadelphia,2023-08-31,110.59
2016,Lea,39,Female,Nice,2023-10-25,587.2
2017,Camille,22,Male,Toulouse,2023-12-14,0.0
2018,Grace,29,Female,Miami,2024-04-24,58.95
2019,Adam,29,Male,Seattle,2023-03-17,975.44
2020,Charlie,45,Female,Philadelphia,2023-01-14,0.0
2021,Lea,52,Female,Philadelphia,2024-01-15,300.04
2022,Charlie,23,Female,Boston,2023-01-27,419.6
2023,Adam,47,Male,Phoenix,2024-02-24,202.7
2024,Ines,26,Female,Nice,2024-03-18,206.25
2025,Jules,27,Male,Atlanta,2023-04-19,54.32
2026,Tom,36,Male,Paris,2023-11-02,0.0
2027,Grace,37,Female,Denver,2024-03-19,292.97
2028,Bob,38,Male,Los Angeles,2023-03-29,0.0
2029,Sarah,44,Female,Paris,2023-07-24,1298.32
2030,Emma,49,Male,Boston,2023-09-22,0.0
2031,Hugo,35,Female,Chicago,2024-04-27,601.8
2032,Manon,39,Male,Atlanta,2023-04-10,611.85
2033,Tom,24,Male,Miami,2023-11-01,132.49
2034,Bob,49,Female,Chicago,2023-11-20,768.3
2035,Ines,48,Female,Philadelphia,2023-12-05,517.1
2036,Emma,50,Female,Boston,2023-07-21,0.0
2037,Lina,33,Male,Toulouse,2024-02-04,0.0
2038,Alice,47,Female,Phoenix,2023-12-11,336.85
2039,Charlie,43,Male,Paris,2023-08-13,567.8
2040,Nathan,18,Female,Los Angeles,2024-05-03,280.64
2041,Chloe,22,Female,Lyon,2023-05-13,632.04
2042,Ines,38,Male,Marseille,2024-07-07,0.0
2043,Lea,45,Male,Dallas,2024-04-21,0.0
2044,Alice,39,Female,Denver,2024-01-23,1596.43
2045,Nathan,21,Male,Dallas,2024-07-07,71.2
2046,Jules,25,Female,Lyon,2024-04-17,169.7
2047,Tom,36,Female,Paris,2023-11-15,115.95
2048,Louis,45,Female,Phoenix,2023-08-04,249.0
2049,Manon,40,Female,Toulouse,2023-08-19,159.9
2050,Tom,39,Male,New York,2023-04-03,91.7
2051,Tom,23,Female,San Antonio,2023-11-03,572.21
2052,Jules,36,Female,Seattle,2024-09-04,199.0
2053,Jules,57,Male,Los Angeles,2023-01-13,105.3
2054,Lucas,49,Female,Nice,2023-03-30,0.0
2055,Alice,50,Male,Chicago,2023-07-06,125.45
2056,Chloe,18,Male,Paris,2024-09-20,72.35
2057,Bob,36,Male,San Antonio,2024-01-04,421.1
2058,Adam,47,Male,Chicago,2023-05-17,1246.81
2059,Manon,36,Female,Nice,2023-06-27,209.39
2060,Sarah,27,Female,Los Angeles,2023-08-05,0.0
2061,Camille,37,Female,Chicago,2024-06-21,221.18
2062,Camille,36,Female,Seattle,2024-05-05,0.0
2063,Grace,33,Female,Marseille,2023-12-29,138.9
2064,Camille,46,Female,Miami,2023-11-11,1041.08
2065,Lea,30,Female,Philadelphia,2023-03-29,513.17
2066,Lina,65,Male,Paris,2023-04-04,353.64
2067,Lina,31,Female,San Antonio,2024-09-06,596.6
2068,Lea,42,Female,Miami,2024-10-25,216.4
2069,Hugo,46,Male,Marseille,2023-10-17,105.8
2070,Louis,20,Female,Los Angeles,2023-07-23,379.56
2071,Lucas,32,Male,Miami,2023-02-23,87.45
2072,Louis,20,Male,New York,2023-01-29,77.8
2073,Jules,37,Male,Marseille,2024-01-03,570.53
2074,Jules,41,Female,Denver,2023-01-19,145.94
2075,Tom,41,Female,Miami,2023-08-13,773.55
2076,Adam,25,Female,Miami,2024-07-23,79.95
2077,Lina,39,Female,Toulouse,2023-05-14,313.3
2078,Tom,18,Female,Chicago,2023-02-06,1069.57
2079,Nathan,28,Female,Seattle,2023-07-12,0.0
2080,Sarah,18,Female,Philadelphia,2023-02-06,188.35
2081,Ines,49,Male,Atlanta,2024-06-23,0.0
2082,Adam,27,Male,Houston,2024-08-10,0.0
2083,Bob,36,Female,Philadelphia,2023-12-14,92.75
2084,Chloe,33,Female,San Antonio,2023-06-26,0.0
2085,Jules,50,Male,Paris,2023-10-15,434.56
2086,Lucas,42,Female,Lyon,2024-10-03,0.0
2087,Bob,20,Male,Atlanta,2023-11-12,301.15
2088,Lea,37,Female,Dallas,2024-04-26,128.4
2089,Noah,21,Female,Los Angeles,2024-08-07,96.15
2090,Camille,28,Female,Toulouse,2024-09-17,244.6
2091,Lea,24,Male,Philadelphia,2024-09-18,145.9
2092,Louis,34,Male,Lyon,2024-06-04,0.0
2093,Tom,35,Female,Nice,2023-03-21,323.34
2094,Nathan,20,Female,San Antonio,2023-03-07,0.0
2095,Manon,23,Female,Denver,2024-06-10,0.0
2096,Chloe,31,Female,Denver,2023-06-27,1083.05
2097,Nathan,59,Female,Lyon,2023-03-27,140.2
2098,Jules,26,Male,Phoenix,2024-08-15,0.0
2099,Lina,20,Male,Boston,2023-09-30,417.58
2100,Hugo,34,Female,San Antonio,2023-05-19,523.18
2101,Chloe,45,Female,New York,2024-07-31,0.0
2102,Sarah,52,Female,Nice,2024-05-01,0.0
2103,Grace,47,Male,Philadelphia,2023-12-16,110.53
2104,Sarah,42,Female,Boston,2023-01-29,254.54
2105,Adam,19,Female,Los Angeles,2023-02-03,0.0
2106,Charlie,33,Female,Toulouse,2024-04-25,416.4
2107,Noah,33,Female,Houston,2024-10-24,172.29
2108,Tom,52,Female,Lyon,2024-07-13,598.27
2109,Camille,71,Female,Lyon,2024-04-18,313.5
2110,Hugo,41,Male,Seattle,2024-03-21,759.7
2111,Ines,27,Male,San Antonio,2024-03-29,149.75
2112,Hugo,56,Male,Atlanta,2024-08-20,310.68
2113,Lucas,44,Male,Miami,2024-10-21,31.9
2114,Manon,22,Female,Phoenix,2023-07-15,0.0
2115,Adam,32,Female,Paris,2024-10-20,0.0
2116,Nathan,40,Male,Philadelphia,2023-09-05,0.0
2117,Hugo,48,Female,Lyon,2023-01-15,0.0
2118,Jules,33,Female,Seattle,2023-06-06,216.8
2119,Chloe,44,Female,Philadelphia,2023-03-02,858.86
2120,Camille,49,Male,Los Angeles,2023-08-15,681.39
2121,Chloe,18,Female,Boston,2024-08-01,0.0
2122,Hugo,61,Female,Chicago,2023-12-05,0.0
2123,Bob,28,Male,Lyon,2024-10-23,563.3
2124,Lina,46,Male,Phoenix,2024-01-06,0.0
2125,Chloe,45,Male,Denver,2023-05-07,1037.83
2126,Hugo,44,Female,Boston,2024-10-26,328.95
2127,Jules,48,Female,Denver,2023-04-02,111.16
2128,Noah,23,Female,New York,2023-05-06,185.5
2129,Bob,70,Female,Nice,2023-05-08,1748.84
2130,Lea,57,Female,Atlanta,2024-10-08,58.95
2131,Lucas,56,Female,Toulouse,2023-08-05,594.57
2132,Jules,36,Female,Phoenix,2023-05-25,0.0
2133,Grace,24,Male,Boston,2023-10-28,506.3
2134,Hugo,46,Male,Boston,2024-07-22,32.5
2135,Charlie,18,Male,Toulouse,2023-01-14,269.5
2136,Chloe,29,Male,Los Angeles,2023-08-19,311.25
2137,Jules,41,Male,Toulouse,2023-12-13,99.99
2138,Charlie,27,Male,Lyon,2023-01-09,1252.0
2139,Nathan,42,Female,Philadelphia,2024-04-16,366.48
2140,Camille,22,Male,Toulouse,2023-04-18,175.25
